
TAGS;COUNT;MIN;MAX;AVG;MEDIAN
TAG_ADD_START-TAG_ADD_END;500;0.8289579749;1.0432980061;0.8719269460;0.8692829907
TAG_ADD_U_START-TAG_ADD_U_END;500;0.8234540224;1.0432980061;0.8633115020;0.8607515097
TAG_SUB_START-TAG_SUB_END;500;0.8134719729;1.0432980061;0.8593925515;0.8573784828
TAG_SUB_U_START-TAG_SUB_U_END;500;2.1581718922;52.3365097046;2.3533215461;2.2468855381
TAG_MUL_START-TAG_MUL_END;500;6.5722608566;56.7387237549;7.0011578579;6.7752737999
TAG_MUL_U_START-TAG_MUL_U_END;500;4.9873371124;56.7387237549;5.2807465734;5.1665723324
TAG_DIV_START-TAG_DIV_END;500;2.8503921032;56.7387237549;3.2527653785;2.9400769472
TAG_DIV_U_START-TAG_DIV_U_END;500;2.6355679035;56.7387237549;2.8274365921;2.7177299261
TAG_EQ_START-TAG_EQ_END;500;0.8721690178;56.7387237549;0.9145445049;0.9112409949
TAG_EQ_U_START-TAG_EQ_U_END;500;0.8642119765;56.7387237549;1.0101668689;0.9080504775
TAG_NEQ_START-TAG_NEQ_END;500;0.8909850121;56.7387237549;0.9355566208;0.9312195182
TAG_NEQ_U_START-TAG_NEQ_U_END;500;0.8847060204;56.7387237549;1.0274174408;0.9250625074
TAG_LEQ_START-TAG_LEQ_END;500;1.9179120064;56.7387237549;1.9847465901;1.9748430252
TAG_LEQ_U_START-TAG_LEQ_U_END;500;1.9070390463;56.7387237549;2.0801290629;1.9703770280
TAG_GEQ_START-TAG_GEQ_END;500;1.9071029425;56.7387237549;1.9774881985;1.9688950181
TAG_GEQ_U_START-TAG_GEQ_U_END;500;1.8850950003;56.7387237549;2.1578264866;1.9480720162
TAG_LESS_START-TAG_LESS_END;500;1.9096039534;56.7387237549;2.1741384552;1.9684219956
TAG_LESS_U_START-TAG_LESS_U_END;500;1.8903210163;56.7387237549;2.0608434348;1.9513080120
TAG_GRT_START-TAG_GRT_END;500;1.9085370302;56.7387237549;2.1772307727;1.9706309438
TAG_GRT_U_START-TAG_GRT_U_END;500;1.8995590210;56.7387237549;2.1695344830;1.9588149786
TAG_SHR_U_START-TAG_SHR_U_END;500;5.9716038704;56.7387237549;6.5629724398;6.1412689686
TAG_SHL_START-TAG_SHL_END;500;17.3418655396;68.2344665527;18.8365378990;17.7760534286
TAG_SHL_U_START-TAG_SHL_U_END;500;15.6419334412;68.2344665527;17.0773794327;16.0223751068
TAG_LAND_START-TAG_LAND_END;500;6.7288670540;68.2344665527;7.5468443403;6.9211156368
TAG_LAND_U_START-TAG_LAND_U_END;500;5.4553861618;68.2344665527;5.7557186098;5.6372909546
TAG_LOR_START-TAG_LOR_END;500;1.0906879902;68.2344665527;1.1345359960;1.1237425208
TAG_LOR_U_START-TAG_LOR_U_END;500;1.0003160238;68.2344665527;1.1381431065;1.0305960178
TAG_AND_START-TAG_AND_END;500;5.0842728615;68.2344665527;5.2424604616;5.2246766090
TAG_AND_U_START-TAG_AND_U_END;500;4.5922889709;68.2344665527;5.0339775057;4.7148170471
TAG_OR_START-TAG_OR_END;500;5.1149578094;68.2344665527;5.6685832329;5.2468831539
TAG_OR_U_START-TAG_OR_U_END;500;4.5513839722;68.2344665527;4.8931172981;4.6725623608
TAG_XOR_START-TAG_XOR_END;500;21.4662246704;72.6645126343;23.0956542130;22.0161666870
TAG_XOR_U_START-TAG_XOR_U_END;500;28.5040512085;79.4775085449;31.1236532860;29.2335548401
TAG_NEG_START-TAG_NEG_END;500;2.8887379169;79.4775085449;3.2829352207;2.9678764343
TAG_NEG_U_START-TAG_NEG_U_END;500;2.5795569420;79.4775085449;2.7594344521;2.6498495340
