
TAGS;COUNT;MIN;MAX;AVG;MEDIAN
TAG_ADD_START-TAG_ADD_END;500;0.5375750065;50.5737152100;0.7041164117;0.5570839942
TAG_ADD_U_START-TAG_ADD_U_END;500;0.5374460220;50.5737152100;0.6028260192;0.5592859983
TAG_SUB_START-TAG_SUB_END;500;0.5437790155;50.5737152100;0.6147983036;0.5654734969
TAG_SUB_U_START-TAG_SUB_U_END;500;0.5438650250;50.5737152100;0.6042541623;0.5574544966
TAG_MUL_START-TAG_MUL_END;500;0.5460370183;50.5737152100;0.6123680999;0.5649144948
TAG_MUL_U_START-TAG_MUL_U_END;500;0.5461599827;50.6250839233;0.7105900214;0.5676870048
TAG_DIV_START-TAG_DIV_END;500;0.7622159719;50.6250839233;0.8483589362;0.7841055095
TAG_DIV_U_START-TAG_DIV_U_END;500;0.9660379887;51.0391578674;1.1800481457;0.9876514971
TAG_EQ_START-TAG_EQ_END;500;0.5625460148;51.0391578674;0.7246962063;0.5818569958
TAG_EQ_U_START-TAG_EQ_U_END;500;0.5625600219;51.0391578674;0.6293761759;0.5814059973
TAG_NEQ_START-TAG_NEQ_END;500;0.5623729825;51.0391578674;0.6240549057;0.5840154886
TAG_NEQ_U_START-TAG_NEQ_U_END;500;0.5626890063;51.0391578674;0.6329834608;0.5842880011
TAG_LEQ_START-TAG_LEQ_END;500;0.5625320077;51.0391578674;0.6198603002;0.5837220252
TAG_LEQ_U_START-TAG_LEQ_U_END;500;0.5711650252;51.0391578674;0.6384272838;0.5923710167
TAG_GEQ_START-TAG_GEQ_END;500;0.5623919964;51.0391578674;0.6219485221;0.5828589797
TAG_GEQ_U_START-TAG_GEQ_U_END;500;0.5625399947;51.0391578674;0.6237405783;0.5834439993
TAG_LESS_START-TAG_LESS_END;500;0.5625090003;51.6620635986;0.7281407704;0.5841049850
TAG_LESS_U_START-TAG_LESS_U_END;500;0.5621780157;51.6620635986;0.6292724326;0.5836735070
TAG_GRT_START-TAG_GRT_END;500;0.5625290275;51.6620635986;0.6250813164;0.5719205141
TAG_GRT_U_START-TAG_GRT_U_END;500;0.5714589953;51.6620635986;0.6410349041;0.5923570096
TAG_SHR_U_START-TAG_SHR_U_END;500;0.4946289957;51.6620635986;0.6495943285;0.4965469986
TAG_SHL_START-TAG_SHL_END;500;0.5475450158;51.6620635986;0.6109789627;0.5691755116
TAG_SHL_U_START-TAG_SHL_U_END;500;0.5473909974;51.6620635986;0.6170153052;0.5690905154
TAG_LAND_START-TAG_LAND_END;500;0.5524560213;51.6620635986;0.7279938370;0.5747470260
TAG_LAND_U_START-TAG_LAND_U_END;500;0.5541250110;51.6620635986;0.6308830682;0.5854825079
TAG_LOR_START-TAG_LOR_END;500;0.4903750122;51.6620635986;0.5530867524;0.5120230019
TAG_LOR_U_START-TAG_LOR_U_END;500;0.4910030067;51.6620635986;0.5542452231;0.5031079948
TAG_AND_START-TAG_AND_END;500;0.5437489748;51.6620635986;0.6116602671;0.5647715032
TAG_AND_U_START-TAG_AND_U_END;500;0.5446950197;51.6620635986;0.6154502804;0.5659390092
TAG_OR_START-TAG_OR_END;500;0.5437189937;51.6620635986;0.7107940843;0.5645869970
TAG_OR_U_START-TAG_OR_U_END;500;0.5446169972;51.6620635986;0.6174052522;0.5657129884
TAG_XOR_START-TAG_XOR_END;500;0.5437740088;51.6620635986;0.7056444602;0.5652855039
TAG_XOR_U_START-TAG_XOR_U_END;500;0.5447430015;51.6620635986;0.6141826888;0.5656529963
TAG_NEG_START-TAG_NEG_END;500;0.4782139957;51.6620635986;0.5306442898;0.4800174981
TAG_NEG_U_START-TAG_NEG_U_END;500;0.4792099893;51.6620635986;0.5400929877;0.5002759993
