
TAGS;COUNT;MIN;MAX;AVG;MEDIAN
TAG_ADD_START-TAG_ADD_END;500;0.5697600245;2.8180549145;0.6348345371;0.5914935172
TAG_ADD_U_START-TAG_ADD_U_END;500;0.5627499819;2.8180549145;0.6354183586;0.5841359794
TAG_SUB_START-TAG_SUB_END;500;0.5720279813;2.8221540451;0.6376580176;0.5933724940
TAG_SUB_U_START-TAG_SUB_U_END;500;0.5720890164;52.2384796143;0.7446813962;0.5934860110
TAG_MUL_START-TAG_MUL_END;500;0.5700460076;52.2384796143;0.6342707541;0.5911639929
TAG_MUL_U_START-TAG_MUL_U_END;500;0.5700290203;52.2384796143;0.6387506063;0.5910665095
TAG_DIV_START-TAG_DIV_END;500;0.8516420126;52.2384796143;1.0447506685;0.8735764921
TAG_DIV_U_START-TAG_DIV_U_END;500;1.7638410330;52.2384796143;2.2743313928;1.8105775118
TAG_EQ_START-TAG_EQ_END;500;0.5712000132;52.2384796143;0.6347075009;0.5925484896
TAG_EQ_U_START-TAG_EQ_U_END;500;0.5711629987;52.2384796143;0.6361620243;0.5923534930
TAG_NEQ_START-TAG_NEQ_END;500;0.5710480213;52.2384796143;0.6349921689;0.5925475061
TAG_NEQ_U_START-TAG_NEQ_U_END;500;0.5710399747;52.2384796143;0.9242653625;0.5928145051
TAG_LEQ_START-TAG_LEQ_END;500;0.5709890127;52.2384796143;0.6339251968;0.5926645100
TAG_LEQ_U_START-TAG_LEQ_U_END;500;0.5711640120;52.2384796143;0.6273164183;0.5923815072
TAG_GEQ_START-TAG_GEQ_END;500;0.5711089969;52.2384796143;0.6347392132;0.5924784839
TAG_GEQ_U_START-TAG_GEQ_U_END;500;0.5975829959;52.2384796143;0.7563837758;0.6190670133
TAG_LESS_START-TAG_LESS_END;500;0.5822529793;52.2384796143;0.6504243958;0.6039319932
TAG_LESS_U_START-TAG_LESS_U_END;500;0.5975739956;52.2384796143;0.6554261023;0.6189600229
TAG_GRT_START-TAG_GRT_END;500;0.5710499883;52.2384796143;0.7400884135;0.5925149918
TAG_GRT_U_START-TAG_GRT_U_END;500;0.5713449717;52.2384796143;0.6259402999;0.5925905108
TAG_SHR_U_START-TAG_SHR_U_END;500;2.2595999241;53.2740516663;2.5850720911;2.3214215040
TAG_SHL_START-TAG_SHL_END;500;0.7133610249;53.2740516663;0.7952397188;0.7349484861
TAG_SHL_U_START-TAG_SHL_U_END;500;0.7185410261;53.2740516663;0.7925460861;0.7400870025
TAG_LAND_START-TAG_LAND_END;500;0.5554909706;53.2740516663;0.6164289767;0.5767030120
TAG_LAND_U_START-TAG_LAND_U_END;500;0.6540520191;53.2740516663;0.7255876842;0.6760055125
TAG_LOR_START-TAG_LOR_END;500;0.4973430037;53.2740516663;0.5535455346;0.5173975229
TAG_LOR_U_START-TAG_LOR_U_END;500;0.5859829783;53.2740516663;0.6571099976;0.6142694950
TAG_AND_START-TAG_AND_END;500;0.5436459780;53.2740516663;0.6041553468;0.5650115013
TAG_AND_U_START-TAG_AND_U_END;500;0.6454579830;53.2740516663;0.7154624877;0.6671254933
TAG_OR_START-TAG_OR_END;500;0.5438780189;53.2740516663;0.6063650150;0.5646865070
TAG_OR_U_START-TAG_OR_U_END;500;0.6454309821;53.2740516663;0.9133319889;0.6670854986
TAG_XOR_START-TAG_XOR_END;500;0.5499799848;53.2740516663;0.6202671674;0.5712575018
TAG_XOR_U_START-TAG_XOR_U_END;500;0.5493680239;53.2740516663;0.6079447305;0.5708009899
TAG_NEG_START-TAG_NEG_END;500;0.4330829978;53.2740516663;0.5873317274;0.4347074926
TAG_NEG_U_START-TAG_NEG_U_END;500;0.5742759705;53.2740516663;0.6334043962;0.5952069759
