
TAGS;COUNT;MIN;MAX;AVG;MEDIAN
TAG_ADD_START-TAG_ADD_END;500;4.6985349655;55.0271682739;5.1397021170;4.8193235397
TAG_ADD_U_START-TAG_ADD_U_END;500;2.4504449368;55.0271682739;2.7300129490;2.5197620392
TAG_SUB_START-TAG_SUB_END;500;4.4659051895;55.0271682739;4.6081275721;4.5931930542
TAG_SUB_U_START-TAG_SUB_U_END;500;2.7097990513;55.0271682739;2.8076404085;2.7996569872
TAG_MUL_START-TAG_MUL_END;500;3.0416979790;55.0271682739;3.2301392431;3.1195045710
TAG_MUL_U_START-TAG_MUL_U_END;500;2.2969119549;55.0271682739;2.5632523961;2.3570975065
TAG_DIV_START-TAG_DIV_END;500;2.2022941113;55.0271682739;2.4725774088;2.2645514011
TAG_DIV_U_START-TAG_DIV_U_END;500;4.8568220139;55.0271682739;5.1966403875;4.9805228710
TAG_EQ_START-TAG_EQ_END;500;1.4375309944;55.0271682739;1.6798464992;1.4781674743
TAG_EQ_U_START-TAG_EQ_U_END;500;1.4324740171;55.0271682739;1.6771819601;1.4728049636
TAG_NEQ_START-TAG_NEQ_END;500;1.4306329489;55.0271682739;1.5750204484;1.4705640078
TAG_NEQ_U_START-TAG_NEQ_U_END;500;1.4413189888;55.0271682739;1.6855504217;1.4828299880
TAG_LEQ_START-TAG_LEQ_END;500;5.7389068604;56.0819129944;6.5140398397;5.8949644566
TAG_LEQ_U_START-TAG_LEQ_U_END;500;3.8905589581;56.0819129944;4.2249327860;4.0145628452
TAG_GEQ_START-TAG_GEQ_END;500;5.4202318192;56.0819129944;5.7885909910;5.5722460747
TAG_GEQ_U_START-TAG_GEQ_U_END;500;3.9695179462;56.0819129944;4.1020734658;4.0878844261
TAG_LESS_START-TAG_LESS_END;500;5.9480781555;56.2348518372;6.4370470171;6.1206295490
TAG_LESS_U_START-TAG_LESS_U_END;500;3.9138579369;56.2348518372;4.2545470371;4.0400514603
TAG_GRT_START-TAG_GRT_END;500;0.5591239929;56.2348518372;0.6795437570;0.5813430250
TAG_GRT_U_START-TAG_GRT_U_END;500;0.5591300130;56.2348518372;0.6767691547;0.5805805027
TAG_SHR_U_START-TAG_SHR_U_END;500;9.1936597824;59.7032470703;9.9640220356;9.4358325005
TAG_SHL_START-TAG_SHL_END;500;7.0208578110;59.7032470703;7.4255626545;7.2076261044
TAG_SHL_U_START-TAG_SHL_U_END;500;6.0734310150;59.7032470703;6.6503178072;6.2347321510
TAG_LAND_START-TAG_LAND_END;500;4.1076388359;59.7032470703;4.5309262514;4.2178919315
TAG_LAND_U_START-TAG_LAND_U_END;500;3.7018969059;59.7032470703;4.2104765568;3.7997685671
TAG_LOR_START-TAG_LOR_END;500;5.6807808876;59.7032470703;5.8520531406;5.8339731693
TAG_LOR_U_START-TAG_LOR_U_END;500;3.5311169624;59.7032470703;3.8371729932;3.6239449978
TAG_AND_START-TAG_AND_END;500;1.3792959452;59.7032470703;1.5208023095;1.4180179834
TAG_AND_U_START-TAG_AND_U_END;500;1.3788620234;59.7032470703;1.4193665967;1.4179550409
TAG_OR_START-TAG_OR_END;500;1.3792229891;59.7032470703;1.4209904788;1.4191190004
TAG_OR_U_START-TAG_OR_U_END;500;1.3787430525;59.7032470703;1.4194102514;1.4172405005
TAG_XOR_START-TAG_XOR_END;500;11.8139142990;62.2320709229;13.1380409126;12.1066255569
TAG_XOR_U_START-TAG_XOR_U_END;500;11.7363138199;62.2497215271;12.6764827061;12.0387692451
TAG_NEG_START-TAG_NEG_END;500;1.2548910379;62.2497215271;1.3929849751;1.2849339843
TAG_NEG_U_START-TAG_NEG_U_END;500;1.2527890205;62.2497215271;1.2890338452;1.2819125056
