
TAGS;COUNT;MIN;MAX;AVG;MEDIAN
TAG_ADD_START-TAG_ADD_END;500;0.5859360099;2.8491160870;0.6229020525;0.6129390001
TAG_ADD_U_START-TAG_ADD_U_END;500;0.5853719711;46.8145256042;0.7149589173;0.6121144891
TAG_SUB_START-TAG_SUB_END;500;0.5651699901;50.6735496521;0.6975990460;0.5898644924
TAG_SUB_U_START-TAG_SUB_U_END;500;0.5644410253;50.6735496521;0.5945525396;0.5889894962
TAG_MUL_START-TAG_MUL_END;500;0.6131610274;50.6735496521;0.6463155658;0.6368874907
TAG_MUL_U_START-TAG_MUL_U_END;500;0.6141780019;50.7317543030;0.7437651286;0.6369739771
TAG_DIV_START-TAG_DIV_END;500;2.1888449192;52.5200881958;2.4097152753;2.2494490147
TAG_DIV_U_START-TAG_DIV_U_END;500;3.7096719742;54.0059204102;4.0782763004;3.8120309114
TAG_EQ_START-TAG_EQ_END;500;0.5009760261;54.0059204102;0.5372596896;0.5241770148
TAG_EQ_U_START-TAG_EQ_U_END;500;0.5018829703;54.0059204102;0.5329417124;0.5250580013
TAG_NEQ_START-TAG_NEQ_END;500;0.5859090090;54.0059204102;0.7219875609;0.6083635092
TAG_NEQ_U_START-TAG_NEQ_U_END;500;0.5856389999;54.0059204102;0.6181588606;0.6078175008
TAG_LEQ_START-TAG_LEQ_END;500;1.6108870506;54.0059204102;2.0038740749;1.6614244580
TAG_LEQ_U_START-TAG_LEQ_U_END;500;1.7034649849;54.0059204102;1.8074945116;1.7666899562
TAG_GEQ_START-TAG_GEQ_END;500;1.6020870209;54.0059204102;1.6942361550;1.6514900327
TAG_GEQ_U_START-TAG_GEQ_U_END;500;1.7093260288;54.0059204102;1.8989608948;1.7664295435
TAG_LESS_START-TAG_LESS_END;500;1.6010290384;54.0059204102;1.6924349594;1.6509925127
TAG_LESS_U_START-TAG_LESS_U_END;500;1.7350959778;54.0059204102;2.0093073506;1.7872880101
TAG_GRT_START-TAG_GRT_END;500;1.6029150486;54.0059204102;1.9901014168;1.6544470191
TAG_GRT_U_START-TAG_GRT_U_END;500;1.6899830103;54.0059204102;1.8700336418;1.7380765080
TAG_SHR_U_START-TAG_SHR_U_END;500;4.1854262352;54.4364852905;4.7531605091;4.2999186516
TAG_SHL_START-TAG_SHL_END;500;0.6927769780;54.4364852905;0.8287813954;0.7153709829
TAG_SHL_U_START-TAG_SHL_U_END;500;0.7033460140;54.4364852905;0.7345400841;0.7261705101
TAG_LAND_START-TAG_LAND_END;500;0.5558599830;54.4364852905;0.5899049951;0.5796339810
TAG_LAND_U_START-TAG_LAND_U_END;500;0.5561329722;54.4364852905;0.5815772988;0.5786724985
TAG_LOR_START-TAG_LOR_END;500;0.4991930127;54.4364852905;0.5279976327;0.5232945085
TAG_LOR_U_START-TAG_LOR_U_END;500;0.4997189939;54.4364852905;0.5231561141;0.5215739906
TAG_AND_START-TAG_AND_END;500;0.8016970158;54.4364852905;0.8442260749;0.8253380060
TAG_AND_U_START-TAG_AND_U_END;500;0.8157770038;54.4364852905;0.8500457942;0.8391804993
TAG_OR_START-TAG_OR_END;500;0.8015760183;54.4364852905;0.8467672405;0.8249174953
TAG_OR_U_START-TAG_OR_U_END;500;0.8155130148;54.4364852905;0.8495195752;0.8387934864
TAG_XOR_START-TAG_XOR_END;500;1.1399099827;54.4364852905;1.1965516224;1.1683239937
TAG_XOR_U_START-TAG_XOR_U_END;500;1.1945799589;54.4364852905;1.2409119925;1.2250159979
TAG_NEG_START-TAG_NEG_END;500;0.4364579916;54.4364852905;0.5588430660;0.4484519958
TAG_NEG_U_START-TAG_NEG_U_END;500;0.4365110099;54.4364852905;0.4533202977;0.4461025000
