~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Perm Stuck-at SDCs for residue on 8bit  
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 A |   SDCs   |  Masked   |
---+----------+-----------+
1  | 1288991  | 390625    |
2  | 1770738  | 468750    |
3  | 619313   | 392683    |
4  | 2423484  | 562500    |
5  | 554629   | 395905    |
6  | 944826   | 472278    |
7  | 516633   | 396907    |
8  | 3306312  | 675000    |
9  | 676627   | 411157    |
10 | 947502   | 482610    |
11 | 619991   | 409999    |
12 | 1482852  | 573084    |
13 | 672229   | 416701    |
14 | 939234   | 487182    |
15 | 764385   | 426367    |
16 | 4498416  | 810000    |
17 | 887569   | 431317    |
18 | 1181038  | 504498    |
19 | 774225   | 436291    |
20 | 1591052  | 590580    |
21 | 911207   | 447733    |
22 | 1146810  | 508710    |
23 | 870793   | 446839    |
24 | 2289768  | 693144    |
25 | 968235   | 460513    |
26 | 1254750  | 521058    |
27 | 984925   | 460819    |
28 | 1729620  | 612396    |
29 | 1051179  | 462589    |
30 | 1515322  | 542982    |
31 | 1526181  | 524611    |
32 | 6105888  | 972000    |
33 | 1688713  | 546529    |
34 | 1780574  | 571170    |
35 | 1266901  | 493555    |
36 | 2048028  | 627300    |
37 | 1308691  | 500125    |
38 | 1613626  | 570774    |
39 | 1359439  | 506575    |
40 | 2703224  | 733320    |
41 | 1431863  | 513697    |
42 | 1792262  | 586362    |
43 | 1614757  | 539947    |
44 | 2177716  | 656460    |
45 | 1525361  | 528877    |
46 | 1821874  | 588558    |
47 | 1777911  | 568063    |
48 | 3772240  | 864432    |
49 | 1896567  | 584185    |
50 | 2017614  | 610914    |
51 | 1717553  | 545779    |
52 | 2365804  | 672660    |
53 | 1850931  | 565861    |
54 | 2090458  | 615846    |
55 | 1932657  | 571567    |
56 | 3102408  | 768312    |
57 | 2052071  | 586105    |
58 | 2304758  | 638058    |
59 | 2170285  | 603283    |
60 | 3121252  | 745884    |
61 | 2419823  | 637909    |
62 | 3252466  | 747534    |
63 | 3351313  | 752647    |
64 | 8270784  | 1166400   |
65 | 3521357  | 773341    |
66 | 3575718  | 784506    |
67 | 2763649  | 683371    |
68 | 3700172  | 806580    |
69 | 2678431  | 667789    |
70 | 2913242  | 711318    |
71 | 2712521  | 669247    |
72 | 3993560  | 849960    |
73 | 2771599  | 674977    |
74 | 2931126  | 709338    |
75 | 2713535  | 665659    |
76 | 3271700  | 766188    |
77 | 2762253  | 669181    |
78 | 3121106  | 732990    |
79 | 3122753  | 725191    |
80 | 4709872  | 934416    |
81 | 3233271  | 738217    |
82 | 3311214  | 752898    |
83 | 3011431  | 695587    |
84 | 3525772  | 787572    |
85 | 3061269  | 696037    |
86 | 3284218  | 740118    |
87 | 3247335  | 724855    |
88 | 4105256  | 864216    |
89 | 3359687  | 738457    |
90 | 3511398  | 766362    |
91 | 3397571  | 735163    |
92 | 4036068  | 842652    |
93 | 3599627  | 764797    |
94 | 4094674  | 840702    |
95 | 4148599  | 842671    |
96 | 6078112  | 1065312   |
97 | 4275607  | 856921    |
98 | 4341550  | 867090    |
99 | 3938299  | 801475    |
100| 4499196  | 889092    |
101| 3951819  | 794629    |
102| 4151146  | 831270    |
103| 4102687  | 814615    |
104| 4906904  | 938088    |
105| 4210407  | 824041    |
106| 4328022  | 844266    |
107| 4219763  | 814411    |
