~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Trans. flip SDCs for residue on 8bit  
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 A | SDCs  | Masked |
---+-------+--------+
1  | 65280 | 512    |
2  | 32512 | 512    |
3  | 21590 | 512    |
4  | 16128 | 512    |
5  | 12852 | 512    |
6  | 10668 | 512    |
7  | 9108  | 512    |
8  | 7936  | 512    |
9  | 7028  | 512    |
10 | 6300  | 512    |
11 | 5704  | 512    |
12 | 5208  | 512    |
13 | 4788  | 512    |
14 | 4428  | 512    |
15 | 4114  | 512    |
16 | 3840  | 512    |
17 | 3600  | 512    |
18 | 3388  | 512    |
19 | 3198  | 512    |
20 | 3024  | 512    |
21 | 2868  | 512    |
22 | 2728  | 512    |
23 | 2596  | 512    |
24 | 2480  | 512    |
25 | 2370  | 512    |
26 | 2268  | 512    |
27 | 2178  | 512    |
28 | 2088  | 512    |
29 | 2008  | 512    |
30 | 1936  | 512    |
31 | 1864  | 512    |
32 | 1792  | 512    |
33 | 1736  | 512    |
34 | 1680  | 512    |
35 | 1624  | 512    |
36 | 1568  | 512    |
37 | 1518  | 512    |
38 | 1476  | 512    |
39 | 1434  | 512    |
40 | 1392  | 512    |
41 | 1350  | 512    |
42 | 1308  | 512    |
43 | 1270  | 512    |
44 | 1240  | 512    |
45 | 1210  | 512    |
46 | 1180  | 512    |
47 | 1150  | 512    |
48 | 1120  | 512    |
49 | 1090  | 512    |
50 | 1060  | 512    |
51 | 1030  | 512    |
52 | 1008  | 512    |
53 | 988   | 512    |
54 | 968   | 512    |
55 | 948   | 512    |
56 | 928   | 512    |
57 | 908   | 512    |
58 | 888   | 512    |
59 | 868   | 512    |
60 | 848   | 512    |
61 | 828   | 512    |
62 | 808   | 512    |
63 | 788   | 512    |
64 | 768   | 512    |
65 | 756   | 512    |
66 | 744   | 512    |
67 | 732   | 512    |
68 | 720   | 512    |
69 | 708   | 512    |
70 | 696   | 512    |
71 | 684   | 512    |
72 | 672   | 512    |
73 | 660   | 512    |
74 | 648   | 512    |
75 | 636   | 512    |
76 | 624   | 512    |
77 | 612   | 512    |
78 | 600   | 512    |
79 | 588   | 512    |
80 | 576   | 512    |
81 | 564   | 512    |
82 | 552   | 512    |
83 | 540   | 512    |
84 | 528   | 512    |
85 | 516   | 512    |
86 | 508   | 512    |
87 | 502   | 512    |
88 | 496   | 512    |
89 | 490   | 512    |
90 | 484   | 512    |
91 | 478   | 512    |
92 | 472   | 512    |
93 | 466   | 512    |
94 | 460   | 512    |
95 | 454   | 512    |
96 | 448   | 512    |
97 | 442   | 512    |
98 | 436   | 512    |
99 | 430   | 512    |
100| 424   | 512    |
101| 418   | 512    |
102| 412   | 512    |
103| 406   | 512    |
104| 400   | 512    |
105| 394   | 512    |
106| 388   | 512    |
107| 382   | 512    |
108| 376   | 512    |
109| 370   | 512    |
110| 364   | 512    |
111| 358   | 512    |
112| 352   | 512    |
113| 346   | 512    |
114| 340   | 512    |
115| 334   | 512    |
116| 328   | 512    |
117| 322   | 512    |
118| 316   | 512    |
119| 310   | 512    |
120| 304   | 512    |
121| 298   | 512    |
122| 292   | 512    |
123| 286   | 512    |
124| 280   | 512    |
125| 274   | 512    |
126| 268   | 512    |
127| 262   | 512    |
128| 256   | 512    |
129| 254   | 512    |
130| 252   | 512    |
131| 250   | 512    |
132| 248   | 512    |
133| 246   | 512    |
134| 244   | 512    |
135| 242   | 512    |
136| 240   | 512    |
137| 238   | 512    |
138| 236   | 512    |
139| 234   | 512    |
140| 232   | 512    |
141| 230   | 512    |
142| 228   | 512    |
143| 226   | 512    |
144| 224   | 512    |
145| 222   | 512    |
146| 220   | 512    |
147| 218   | 512    |
148| 216   | 512    |
149| 214   | 512    |
150| 212   | 512    |
151| 210   | 512    |
152| 208   | 512    |
153| 206   | 512    |
154| 204   | 512    |
155| 202   | 512    |
156| 200   | 512    |
157| 198   | 512    |
158| 196   | 512    |
159| 194   | 512    |
160| 192   | 512    |
161| 190   | 512    |
162| 188   | 512    |
163| 186   | 512    |
164| 184   | 512    |
165| 182   | 512    |
166| 180   | 512    |
167| 178   | 512    |
168| 176   | 512    |
169| 174   | 512    |
170| 172   | 512    |
171| 170   | 512    |
172| 168   | 512    |
173| 166   | 512    |
174| 164   | 512    |
175| 162   | 512    |
176| 160   | 512    |
177| 158   | 512    |
178| 156   | 512    |
179| 154   | 512    |
180| 152   | 512    |
181| 150   | 512    |
182| 148   | 512    |
183| 146   | 512    |
184| 144   | 512    |
185| 142   | 512    |
186| 140   | 512    |
187| 138   | 512    |
188| 136   | 512    |
189| 134   | 512    |
190| 132   | 512    |
191| 130   | 512    |
192| 128   | 512    |
193| 126   | 512    |
194| 124   | 512    |
195| 122   | 512    |
196| 120   | 512    |
197| 118   | 512    |
198| 116   | 512    |
199| 114   | 512    |
200| 112   | 512    |
201| 110   | 512    |
202| 108   | 512    |
